date,promotion,type
2022-04-15,Jackie Robinson Brooklyn Dodgers Name and Number T-Shirt,apparel
2022-04-16,Tom Seaver Replica Statue,other_item
2022-04-30,Francisco Lindor Bobble Gnome,bobblehead
2022-05-04,Trevor May Mandalorian Bobblehead,bobblehead
2022-05-14,Polar Bear Pete Alonso Bobblehead,bobblehead
2022-05-15,Mr. & Mrs. Met Sidewalk Chalk,other_item
2022-07-09,Keith Hernandez Bobblehead,bobblehead
2022-07-24,Gil Hodges Bobblehead,bobblehead
2022-08-06,Jacob deGrom Strikeout Counter Bobblehead,bobblehead
2022-08-13,Ron Darling Bobblehead,bobblehead
2022-08-26,Max Scherzer Strikeout Counter Bobblehead,bobblehead
2022-09-14,Sparky and Mr. Met Bobblehead,bobblehead
2022-09-17,Gary Cohen Bobblehead,bobblehead
2023-04-08,Citi Field Replica,other_item
2023-04-29,Handmade by Robots Knit Series Mr. Met,other_item
2023-05-06,Handmade by Robots Knit Series Mrs. Met,other_item
2023-05-06,Mental Health Awareness Day,theme_night
2023-05-20,Francisco Lindor Grass Growing Bobblehead,bobblehead
2023-05-31,Howie Rose Sound Bobblehead,bobblehead
2023-06-03,Mets Hall of Fame Induction Ceremony,special_event
2023-06-04,Pete Alonso Neon Sunglasses,apparel
2023-06-16,Pride Night,theme_night
2023-06-18,Father's Day Bucket Hat,apparel
2023-06-26,Starling Marte Black Panther Bobblehead,bobblehead
2023-06-26,Black Legacy Game,theme_night
2023-06-27,Mr. Met as Indiana Jones Bobblehead,bobblehead
2023-06-29,Filipino Heritage Night,theme_night
2023-07-18,Mets Basketball Jersey,jersey
2023-07-19,Topps Baseball Cards,other_item
2023-07-27,Mets Soccer Jersey,jersey
2023-08-09,Mets Football Jersey,jersey
2023-08-13,Irish Heritage Night,theme_night
2023-08-14,Korean Heritage Night,theme_night
2023-08-15,Edwin Diaz Trumpet Bobblehead,bobblehead
2023-08-16,Max Scherzer Two-Toned Sunglasses,apparel
2023-08-25,Kodai Senga Glow-in-the-Dark Ghost Fork Ball,other_item
2023-08-25,Japanese Heritage Night,theme_night
2023-08-26,Women's Equality Night,theme_night
2023-08-27,Taiwanese Heritage Night,theme_night
2023-08-30,MLB Network Hat,apparel
2023-09-01,Chinese Heritage Night,theme_night
2023-09-01,Fireworks Night,fireworks
2023-09-02,Mets Corduroy Hat,apparel
2023-09-03,Jewish Heritage Night,theme_night
2023-09-12,Mets Hockey Jersey,jersey
2023-09-15,Hispanic Heritage Night,theme_night
2023-09-28,Buck Showalter Windbreaker,apparel
2023-09-29,Mets Crossbody Bag,other_item
2023-09-30,Tie-Dye Headband,apparel
2024-04-01,Rugby Shirt,apparel
2024-04-14,Dwight Gooden Number Retirement,special_event
2024-04-27,Hogwarts House Scarves,apparel
2024-05-11,Mr. Met London Telephone Booth Bobblehead,bobblehead
2024-05-12,Tumbler,other_item
2024-05-25,Artist Series: Joel Mesler Beach Tote,other_item
2024-05-26,Hello Kitty Light-up Bow Bobblehead,bobblehead
2024-05-31,Fireworks Night,fireworks
2024-06-01,Darryl Strawberry Number Retirement,special_event
2024-06-15,Hawaiian Shirt,apparel
2024-06-23,Pride Hat,apparel
2024-06-28,Fireworks Night,fireworks
2024-06-30,Basketball Jersey,jersey
2024-07-09,Soccer Jersey,jersey
2024-07-12,Nimmo Bobblehead,bobblehead
2024-07-13,Artist Series: Rashid Johnson Bucket Hat,other_item
2024-07-24,Lindor Streetwear Bobblehead,bobblehead
2024-07-25,Pickleball Paddle,other_item
2024-07-26,Fireworks Night,fireworks
2024-07-27,Piazza Mercury Mets Replica Jersey,jersey
2024-07-31,Topps Baseball Cards,other_item
2024-08-16,Fireworks Night,fireworks
2024-08-18,Football Jersey,jersey
2024-09-18,Reversible Hoodie,apparel
2024-09-21,Fan Appreciation Beanie,apparel
2025-04-05,Juan Soto Players Pin,other_item
2025-04-06,2025 Schedule Picture Frame,other_item
2025-04-18,Brandon Nimmo Hoodie Jersey,jersey
2025-04-19,Mr. Met Empire State Building Bobblehead,bobblehead
2025-05-09,Clay Holmes Hockey Jersey,jersey
2025-05-10,Edwin Diaz Bobblehead,bobblehead
2025-05-11,Mother's Day Clutch Purse,other_item
2025-05-24,Kodai Senga Replica Jersey,jersey
2025-05-25,Mark Vientos Bobblehead,bobblehead
2025-05-26,Sean Manaea Camo Jersey,jersey
2025-05-30,Hello Kitty Bobblehead,bobblehead
2025-05-31,Hello Kitty Bobblehead,bobblehead
2025-06-01,Hello Kitty Bobblehead,bobblehead
2025-06-13,Pride Tank Top,apparel
2025-06-14,Mr. Met Plushie,other_item
2025-06-15,Hawaiian Shirt,apparel
2025-06-26,Reversible Bucket Hat,apparel
2025-07-03,Juan Soto Replica Jersey,jersey
2025-07-20,David Wright Bobblehead,bobblehead
2025-07-23,Topps Baseball Cards,other_item
2025-07-24,Fireworks Night,fireworks
2025-07-25,Freddy Peralta Bobblehead,bobblehead
2025-07-25,Japanese Heritage Jersey,jersey
2025-07-26,Japanese Heritage Jersey,jersey
2025-07-27,Carlos Beltran Jersey,jersey
2025-07-28,Mr. Met on Deck Plush Doll,other_item
2025-07-29,Mr. & Mrs. Met Play Doh Set,other_item
2025-07-31,Fireworks Night,fireworks
2025-07-31,Marvel x Mets Spider-Man T-shirt,apparel
2025-08-02,Francisco Alvarez Bobblehead,bobblehead
2025-08-03,Mini Bat,other_item
2025-08-13,Mrs. Met Gives Back Bobblehead,bobblehead
2025-08-14,Player Replica Jersey,jersey
2025-08-14,Fireworks Night,fireworks
2025-08-15,Shea Stadium Replica,other_item
2025-08-16,Juan Soto Bobblehead,bobblehead
2025-08-17,Bo Bichette Bobblehead,bobblehead
2025-08-18,Mets Reversible Bucket Hat,apparel
2025-08-19,Freddy Peralta Replica Jersey,jersey
2025-08-26,SNY Players Pins,other_item
2025-08-28,Fireworks Night,fireworks
2025-08-29,Peanuts Day,theme_night
2025-08-30,Francisco Lindor Bobblehead,bobblehead
2025-09-04,WWE x Mets Bobblehead,bobblehead
2025-09-05,Mrs. Met Tennis Bobblehead,bobblehead
2025-09-06,Home Run Apple Kids Piggy Bank,other_item
2025-09-13,Mrs. Met Taxicab Bobblehead,bobblehead
2025-09-14,Color-In Lunchbox,other_item
2025-09-17,Francisco Lindor Bobblehead,bobblehead
2025-09-19,Pop-up Home Run Apple Figurine,other_item
2025-09-20,Long Sleeve T-Shirt,apparel
2026-03-26,2026 Magnet Schedule,other_item
2026-03-28,1986 World Series Championship Replica Ring,other_item
2026-03-29,5-Borough Race Kids Puzzle,other_item
2026-04-11,Juan Soto 40/30 Bobblehead,bobblehead
2026-04-25,Mr. Met Unisphere Light Up Bobblehead,bobblehead
2026-05-26,1986 World Series Retro T-Shirt,apparel
2026-05-29,Bobby Valentine Disguise,other_item
2026-06-11,Mets Soccer Jersey,jersey
2026-06-13,Hello Kitty Bobblehead,bobblehead
2026-06-14,Crayola Color Your Own Mrs. Met Bobblehead,bobblehead
2026-06-22,Mets Purse,other_item
2026-06-23,Mets Chain Necklace,other_item
2026-06-24,Marcus Semien Replica Jersey,jersey
2026-06-25,Juan Soto Baseball Card Bobblehead,bobblehead
2026-06-26,Mets Pride Sleeveless Jersey,jersey
